# campaign: mc-cp-mismatch (dc)
# record_id: 20260731-212614-640560e
# generated_utc: 2026-07-31T21:26:27Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/cp.sch (xschem export)
# corners: typical/27C/3.30V, N=200 mismatch samples
seed,vctrl_v,iup_a,idn_a,mism_pct
163,1.65,5.33675e-06,5.20614e-06,2.4777
163,2.4,5.32422e-06,5.23027e-06,1.7803
164,0.9,5.2123e-06,5.30222e-06,-1.7104
164,1.65,5.20739e-06,5.3297e-06,-2.3215
164,2.4,5.19523e-06,5.35373e-06,-3.0050
165,0.9,5.26555e-06,5.02771e-06,4.6213
165,1.65,5.26075e-06,5.05383e-06,4.0122
165,2.4,5.24888e-06,5.07674e-06,3.3342
166,0.9,5.20287e-06,5.26112e-06,-1.1133
166,1.65,5.19788e-06,5.28795e-06,-1.7179
166,2.4,5.18547e-06,5.31138e-06,-2.3990
167,0.9,5.28413e-06,5.05855e-06,4.3621
167,1.65,5.27908e-06,5.08365e-06,3.7718
167,2.4,5.26668e-06,5.10592e-06,3.0997
168,0.9,5.24235e-06,5.43036e-06,-3.5232
168,1.65,5.23771e-06,5.46461e-06,-4.2402
168,2.4,5.22602e-06,5.49381e-06,-4.9962
169,0.9,5.237e-06,4.99055e-06,4.8193
169,1.65,5.23182e-06,5.01214e-06,4.2890
169,2.4,5.21882e-06,5.03158e-06,3.6533
170,0.9,5.22493e-06,4.98292e-06,4.7416
170,1.65,5.21993e-06,5.00599e-06,4.1843
170,2.4,5.20774e-06,5.02618e-06,3.5482
171,0.9,5.25988e-06,5.02747e-06,4.5184
171,1.65,5.25501e-06,5.05264e-06,3.9266
171,2.4,5.24271e-06,5.07439e-06,3.2629
172,0.9,5.289e-06,5.15783e-06,2.5112
172,1.65,5.2838e-06,5.18425e-06,1.9020
172,2.4,5.27096e-06,5.20722e-06,1.2166
173,0.9,5.30726e-06,4.95608e-06,6.8434
173,1.65,5.30224e-06,4.97872e-06,6.2936
173,2.4,5.28976e-06,4.99876e-06,5.6568
174,0.9,5.17099e-06,5.25941e-06,-1.6954
174,1.65,5.1663e-06,5.28415e-06,-2.2554
174,2.4,5.15461e-06,5.30597e-06,-2.8939
175,0.9,5.2159e-06,5.30316e-06,-1.6591
175,1.65,5.21073e-06,5.32688e-06,-2.2045
175,2.4,5.19805e-06,5.34758e-06,-2.8359
176,0.9,5.31164e-06,4.98317e-06,6.3813
176,1.65,5.30678e-06,5.0062e-06,5.8292
176,2.4,5.29478e-06,5.02634e-06,5.2018
177,0.9,5.17712e-06,5.27719e-06,-1.9144
177,1.65,5.17202e-06,5.30259e-06,-2.4931
177,2.4,5.15949e-06,5.32488e-06,-3.1550
178,0.9,5.25406e-06,5.04938e-06,3.9730
178,1.65,5.24905e-06,5.07339e-06,3.4035
178,2.4,5.23664e-06,5.09452e-06,2.7513
179,0.9,5.22262e-06,5.10968e-06,2.1862
179,1.65,5.21771e-06,5.13216e-06,1.6532
179,2.4,5.20578e-06,5.15203e-06,1.0379
180,0.9,5.27005e-06,5.23904e-06,0.5902
180,1.65,5.26499e-06,5.26777e-06,-0.0528
180,2.4,5.25246e-06,5.29287e-06,-0.7664
181,0.9,5.30261e-06,5.052e-06,4.8405
181,1.65,5.29733e-06,5.07608e-06,4.2657
181,2.4,5.28421e-06,5.09718e-06,3.6032
182,0.9,5.2005e-06,4.86204e-06,6.7271
182,1.65,5.1955e-06,4.88652e-06,6.1293
182,2.4,5.18309e-06,4.90802e-06,5.4517
183,0.9,5.21028e-06,5.1181e-06,1.7850
183,1.65,5.20507e-06,5.14382e-06,1.1837
183,2.4,5.19239e-06,5.16646e-06,0.5006
184,0.9,5.23908e-06,5.28656e-06,-0.9022
184,1.65,5.23416e-06,5.31383e-06,-1.5106
184,2.4,5.22197e-06,5.33768e-06,-2.1915
185,0.9,5.16053e-06,5.07449e-06,1.6813
185,1.65,5.15582e-06,5.09714e-06,1.1446
185,2.4,5.14416e-06,5.11721e-06,0.5253
186,0.9,5.37046e-06,5.08409e-06,5.4784
186,1.65,5.36508e-06,5.1096e-06,4.8780
186,2.4,5.35196e-06,5.13203e-06,4.1955
187,0.9,5.27561e-06,5.22126e-06,1.0355
187,1.65,5.27049e-06,5.24989e-06,0.3916
187,2.4,5.25801e-06,5.27471e-06,-0.3171
188,0.9,5.21965e-06,5.13353e-06,1.6636
188,1.65,5.21472e-06,5.15825e-06,1.0888
188,2.4,5.2026e-06,5.17964e-06,0.4423
189,0.9,5.2111e-06,5.14996e-06,1.1802
189,1.65,5.2057e-06,5.17714e-06,0.5501
189,2.4,5.19261e-06,5.20068e-06,-0.1553
190,0.9,5.29024e-06,5.22121e-06,1.3134
190,1.65,5.28502e-06,5.24892e-06,0.6854
190,2.4,5.27209e-06,5.27341e-06,-0.0250
191,0.9,5.25901e-06,5.03868e-06,4.2792
191,1.65,5.25399e-06,5.0597e-06,3.7676
191,2.4,5.24174e-06,5.07843e-06,3.1649
192,0.9,5.13157e-06,5.10889e-06,0.4429
192,1.65,5.12703e-06,5.1335e-06,-0.1261
192,2.4,5.11578e-06,5.15503e-06,-0.7643
193,0.9,5.32763e-06,5.34844e-06,-0.3898
193,1.65,5.32246e-06,5.37671e-06,-1.0141
193,2.4,5.3095e-06,5.40095e-06,-1.7077
194,0.9,5.18676e-06,5.18967e-06,-0.0561
194,1.65,5.1821e-06,5.21594e-06,-0.6509
194,2.4,5.17057e-06,5.23892e-06,-1.3132
195,0.9,5.22677e-06,5.37255e-06,-2.7507
195,1.65,5.22179e-06,5.40136e-06,-3.3807
195,2.4,5.20968e-06,5.42636e-06,-4.0744
196,0.9,5.15115e-06,5.25831e-06,-2.0589
196,1.65,5.14646e-06,5.27885e-06,-2.5398
196,2.4,5.13492e-06,5.29693e-06,-3.1061
197,0.9,5.13992e-06,5.0474e-06,1.8164
197,1.65,5.13511e-06,5.06995e-06,1.2770
197,2.4,5.12341e-06,5.08978e-06,0.6586
198,0.9,5.26681e-06,5.22705e-06,0.7578
198,1.65,5.26138e-06,5.25747e-06,0.0743
198,2.4,5.248e-06,5.28407e-06,-0.6850
199,0.9,5.20739e-06,5.06169e-06,2.8376
199,1.65,5.20224e-06,5.08293e-06,2.3200
199,2.4,5.18935e-06,5.10152e-06,1.7069
200,0.9,5.21046e-06,5.11342e-06,1.8799
200,1.65,5.20562e-06,5.13584e-06,1.3495
200,2.4,5.19369e-06,5.15565e-06,0.7351
