# campaign: vco-tuning-range (supply jitter)
# record_id: 20260731-184845-0a12e6c
# generated_utc: 2026-07-31T18:48:55Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: design/vco.sch -> sim/vco-tuning-range/netlist-snapshots/20260731-184845-0a12e6c.spice
# corners: 7 bundles x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V at band 5, plus a band sweep and a ripple-frequency sweep at 3 bundles
# deck: tb_vco_supply_jitter.sp -- three VCO copies per run, quiet / stepped /
#   rippled supply, all other conditions identical. The quiet copy is the
#   numerical jitter floor of the transient solver at these settings, not a
#   circuit result; every supply-induced number is reported against it.
# step: 0.1 V step with a 1n edge at the window midpoint
# ripple: 0.05 V amplitude sine at f_osc/<ripple_div>, 4 whole ripple periods
#   inside the measurement window
# *_pred: quasi-static prediction from the measured transient pushing
#   coefficient -- TIE_pp = K*A/(pi*f_rip*f_osc), period_pp = 2*T0*K*A/f_osc.
#   Agreement is what licenses projecting these numbers to ripple frequencies
#   other than the ones simulated.
bundle,temp_c,vdd_v,band,vctrl_v,ripple_div,arip_v,astep_v,frip_hz,quiet_f_hz,quiet_tj_pp_s,quiet_tj_rms_s,quiet_c2c_rms_s,quiet_tie_pp_s,quiet_tie_rms_s,step_f_pre_hz,step_f_post_hz,step_df_hz,step_kvdd_hz_per_v,step_tie_per_us_s,rip_f_hz,rip_tj_pp_s,rip_tj_rms_s,rip_c2c_rms_s,rip_tie_pp_s,rip_tie_rms_s,rip_tie_pp_pred_s,rip_tj_pp_pred_s,quiet_cycles,rip_cycles
sf,125,3.63,5,1.8,16,0.05,0.1,6.86081e+06,8.34666e+07,1.58828e-12,3.3315e-13,5.23299e-13,2.94597e-12,8.36778e-13,8.34674e+07,8.08679e+07,-2.59949e+06,-2.59949e+07,-3.11437e-08,8.35072e+07,5.26828e-10,1.84827e-10,9.63679e-11,1.16704e-09,3.56682e-10,7.2247e-10,3.73132e-10,49,49
ss,-40,2.97,5,1.8,16,0.05,0.1,4.83926e+06,1.00184e+08,4.07134e-12,8.10016e-13,1.1763e-12,5.27799e-12,1.16559e-12,1.00185e+08,9.42081e+07,-5.97654e+06,-5.97654e+07,-5.96552e-08,1.00224e+08,6.88768e-10,2.42413e-10,7.45488e-11,2.61841e-09,7.895e-10,1.96197e-09,5.95459e-10,83,83
ss,-40,3.30,5,1.8,16,0.05,0.1,4.32541e+06,8.23721e+07,4.73607e-12,8.67149e-13,1.24992e-12,4.40023e-12,9.28219e-13,8.23719e+07,7.82292e+07,-4.14268e+06,-4.14268e+07,-5.02924e-08,8.2443e+07,7.36641e-10,2.58904e-10,8.68907e-11,2.58185e-09,7.81061e-10,1.85052e-09,6.1055e-10,76,76
ss,-40,3.63,5,1.8,16,0.05,0.1,3.81154e+06,7.04866e+07,4.32899e-12,9.36829e-13,1.40514e-12,5.57241e-12,9.5344e-13,7.04864e+07,6.7809e+07,-2.67746e+06,-2.67746e+07,-3.79855e-08,7.05299e+07,6.81656e-10,2.39678e-10,8.26623e-11,2.31495e-09,7.00393e-10,1.58612e-09,5.38903e-10,74,74
ss,27,2.97,5,1.8,16,0.05,0.1,6.45238e+06,1.10563e+08,1.91498e-12,4.06094e-13,6.2511e-13,2.78983e-12,5.35534e-13,1.10564e+08,1.04254e+08,-6.30921e+06,-6.30921e+07,-5.70641e-08,1.10655e+08,6.08973e-10,2.13692e-10,8.0086e-11,1.91054e-09,5.8381e-10,1.40755e-09,5.16123e-10,68,68
ss,27,3.30,5,1.8,16,0.05,0.1,5.76721e+06,9.14084e+07,1.83984e-12,4.52787e-13,6.83645e-13,3.5639e-12,7.94919e-13,9.14089e+07,8.69251e+07,-4.48384e+06,-4.48384e+07,-4.90526e-08,9.14519e+07,6.61958e-10,2.34109e-10,9.35139e-11,1.92359e-09,5.82987e-10,1.35369e-09,5.36634e-10,64,64
ss,27,3.63,5,1.8,16,0.05,0.1,5.08206e+06,7.82671e+07,2.05643e-12,4.41045e-13,6.5409e-13,2.53656e-12,5.61013e-13,7.82669e+07,7.52482e+07,-3.01871e+06,-3.01871e+07,-3.85694e-08,7.83075e+07,6.3775e-10,2.24636e-10,9.26298e-11,1.79411e-09,5.45398e-10,1.20788e-09,4.92791e-10,62,62
ss,125,2.97,5,1.8,16,0.05,0.1,8.71069e+06,1.2478e+08,1.71897e-12,3.49586e-13,4.23859e-13,4.63815e-12,1.18503e-12,1.24782e+08,1.18176e+08,-6.60514e+06,-6.60514e+07,-5.29337e-08,1.24862e+08,4.91157e-10,1.72001e-10,7.66253e-11,1.28543e-09,3.92908e-10,9.67178e-10,4.24224e-10,57,57
ss,125,3.30,5,1.8,16,0.05,0.1,7.78575e+06,1.04506e+08,1.99124e-12,4.45441e-13,4.34918e-13,8.12375e-12,2.23084e-12,1.04508e+08,9.9676e+07,-4.8324e+06,-4.8324e+07,-4.62393e-08,1.04558e+08,5.51949e-10,1.9447e-10,9.13702e-11,1.34017e-09,4.13812e-10,9.45243e-10,4.42471e-10,54,54
ss,125,3.63,5,1.8,16,0.05,0.1,6.86081e+06,8.98288e+07,1.85637e-12,4.42655e-13,5.79984e-13,6.56338e-12,1.93431e-12,8.98307e+07,8.63607e+07,-3.47e+06,-3.47e+07,-3.86282e-08,8.98614e+07,5.5702e-10,1.96837e-10,9.48174e-11,1.33196e-09,4.0653e-10,8.96104e-10,4.30029e-10,53,53
typical,-40,2.97,5,1.8,16,0.05,0.1,4.83926e+06,9.06994e+07,2.79616e-12,6.88719e-13,1.09949e-12,4.04407e-12,8.94937e-13,9.06989e+07,8.57278e+07,-4.97107e+06,-4.97107e+07,-5.48085e-08,9.0782e+07,7.26617e-10,2.55073e-10,8.6823e-11,2.49792e-09,7.55344e-10,1.80255e-09,6.04284e-10,75,75
typical,-40,3.30,5,1.8,16,0.05,0.1,4.32541e+06,7.64994e+07,3.06911e-12,6.26866e-13,9.77933e-13,3.67489e-12,8.06736e-13,7.64997e+07,7.33e+07,-3.19972e+06,-3.19972e+07,-4.18266e-08,7.65447e+07,6.80839e-10,2.39755e-10,8.62767e-11,2.21431e-09,6.68328e-10,1.53903e-09,5.46759e-10,71,71
typical,-40,3.63,5,1.8,16,0.05,0.1,3.81154e+06,6.72803e+07,4.45263e-12,9.78632e-13,1.56443e-12,3.65178e-12,8.29543e-13,6.72802e+07,6.51723e+07,-2.10794e+06,-2.10794e+07,-3.13308e-08,6.73087e+07,6.11875e-10,2.15879e-10,7.76804e-11,1.98752e-09,5.99273e-10,1.30825e-09,4.65675e-10,71,71
typical,27,2.97,5,1.8,16,0.05,0.1,6.45238e+06,1.00018e+08,1.81654e-12,4.25183e-13,6.71716e-13,3.39261e-12,8.78091e-13,1.00019e+08,9.47089e+07,-5.30996e+06,-5.30996e+07,-5.30895e-08,1.00104e+08,6.49949e-10,2.282e-10,9.39218e-11,1.83611e-09,5.61135e-10,1.30952e-09,5.30805e-10,62,62
typical,27,3.30,0,1.8,16,0.05,0.1,471569,6.53045e+06,2.66628e-11,5.36863e-12,7.46769e-12,3.26439e-11,6.98022e-12,6.53046e+06,6.35229e+06,-178165,-1.78165e+06,-2.72821e-08,6.53396e+06,4.57345e-09,1.6122e-09,7.36951e-10,1.14408e-08,3.56432e-09,9.20776e-09,4.17769e-09,55,55
typical,27,3.30,1,1.8,16,0.05,0.1,778088,1.05644e+07,1.37568e-11,2.99406e-12,3.99921e-12,1.37382e-11,3.08322e-12,1.05644e+07,1.02474e+07,-316952,-3.16952e+06,-3.00019e-08,1.05704e+07,3.1132e-09,1.09649e-09,5.08717e-10,7.63879e-09,2.37465e-09,6.13678e-09,2.83991e-09,54,54
typical,27,3.30,2,1.8,16,0.05,0.1,1.28385e+06,1.7706e+07,8.57151e-12,1.76924e-12,2.6855e-12,9.6692e-12,1.88525e-12,1.77061e+07,1.71371e+07,-568978,-5.68978e+06,-3.21347e-08,1.77163e+07,2.02593e-09,7.12616e-10,3.26304e-10,5.03142e-09,1.5653e-09,3.98364e-09,1.8149e-09,55,55
typical,27,3.30,3,1.8,16,0.05,0.1,2.11835e+06,2.90754e+07,4.9565e-12,1.1315e-12,1.62769e-12,6.56188e-12,1.28177e-12,2.90754e+07,2.80391e+07,-1.03633e+06,-1.03633e+07,-3.56428e-08,2.91024e+07,1.36883e-09,4.78484e-10,2.23547e-10,3.42979e-09,1.05782e-09,2.6779e-09,1.22588e-09,55,54
typical,27,3.30,4,1.8,16,0.05,0.1,3.49528e+06,5.00881e+07,2.74632e-12,6.37081e-13,9.38398e-13,2.94321e-12,5.69919e-13,5.0088e+07,4.81914e+07,-1.8966e+06,-1.8966e+07,-3.78653e-08,5.01304e+07,9.7726e-10,3.41699e-10,1.53234e-10,2.59099e-09,7.82379e-10,1.72417e-09,7.55974e-10,57,57
typical,27,3.30,5,1.8,4,0.05,0.1,2.30688e+07,8.4484e+07,1.42847e-12,3.48887e-13,5.48608e-13,2.6506e-12,5.32832e-13,8.44843e+07,8.09603e+07,-3.52393e+06,-3.52393e+07,-4.17111e-08,8.44989e+07,9.63854e-10,3.38647e-10,5.17843e-10,6.58699e-10,2.2402e-10,2.87772e-10,4.93717e-10,59,59
typical,27,3.30,5,1.8,16,0.05,0.1,5.76721e+06,8.44823e+07,1.49287e-12,3.88126e-13,6.16016e-13,2.39783e-12,5.96684e-13,8.44825e+07,8.09601e+07,-3.52241e+06,-3.52241e+07,-4.1694e-08,8.45296e+07,6.35249e-10,2.2383e-10,9.71181e-11,1.70149e-09,5.17137e-10,1.15061e-09,4.93525e-10,59,59
typical,27,3.30,5,1.8,32,0.05,0.1,2.8836e+06,8.44824e+07,2.04427e-12,4.33462e-13,6.55641e-13,3.18048e-12,6.88604e-13,8.44824e+07,8.09143e+07,-3.56811e+06,-3.56811e+07,-4.2235e-08,8.45236e+07,5.62511e-10,1.98941e-10,4.24146e-11,2.86507e-09,9.21413e-10,2.33108e-09,4.99926e-10,117,117
typical,27,3.30,6,1.8,16,0.05,0.1,9.51588e+06,1.50337e+08,1.47601e-12,2.82483e-13,4.18428e-13,2.49099e-12,5.74047e-13,1.50339e+08,1.43704e+08,-6.63501e+06,-6.63501e+07,-4.41338e-08,1.50376e+08,4.30467e-10,1.52094e-10,6.05284e-11,1.22715e-09,3.7801e-10,7.38153e-10,2.93568e-10,64,64
typical,27,3.30,7,1.8,16,0.05,0.1,1.57012e+07,2.6194e+08,9.72826e-13,2.23764e-13,3.30366e-13,1.81909e-12,4.12843e-13,2.61942e+08,2.5104e+08,-1.0902e+07,-1.0902e+08,-4.162e-08,2.62079e+08,2.38066e-10,8.40733e-11,3.15168e-11,7.03406e-10,2.22398e-10,4.21883e-10,1.58892e-10,66,66
typical,27,3.63,5,1.8,16,0.05,0.1,5.08206e+06,7.4131e+07,2.78435e-12,5.49154e-13,8.71119e-13,2.15694e-12,4.46139e-13,7.41309e+07,7.17387e+07,-2.39216e+06,-2.39216e+07,-3.22695e-08,7.41847e+07,5.90714e-10,2.06746e-10,9.0842e-11,1.58275e-09,4.81485e-10,1.01058e-09,4.35303e-10,58,58
typical,125,2.97,5,1.8,16,0.05,0.1,8.71069e+06,1.13088e+08,2.16507e-12,4.55839e-13,4.44651e-13,7.08658e-12,1.84651e-12,1.13091e+08,1.07415e+08,-5.67564e+06,-5.67564e+07,-5.01867e-08,1.13165e+08,5.382e-10,1.90187e-10,9.26274e-11,1.27148e-09,3.92761e-10,9.16995e-10,4.43797e-10,52,52
typical,125,3.30,5,1.8,16,0.05,0.1,7.78575e+06,9.59706e+07,1.57603e-12,3.9134e-13,5.04805e-13,6.05809e-12,1.77144e-12,9.59727e+07,9.1978e+07,-3.99465e+06,-3.99465e+07,-4.16228e-08,9.60507e+07,5.55488e-10,1.95135e-10,1.00478e-10,1.24045e-09,3.85036e-10,8.50865e-10,4.33713e-10,49,49
typical,125,3.63,5,1.8,16,0.05,0.1,6.86081e+06,8.41774e+07,1.24225e-12,2.85448e-13,4.1882e-13,2.60669e-12,5.96439e-13,8.4178e+07,8.14188e+07,-2.7592e+06,-2.7592e+07,-3.27782e-08,8.4233e+07,5.36107e-10,1.87934e-10,9.72813e-11,1.19814e-09,3.68211e-10,7.60384e-10,3.89397e-10,49,49
