bundle,temp_c,vdd_v,band,vctrl_v,fosc_hz,kvco_hz_per_v,kvco_over_f_per_v,isupply_a,inside_v1_band
all-slow,-40,3.63,7,2.10,1.9374e+08,8.713167e+07,0.44974,0.000329305,1
all-slow,-40,3.63,7,2.40,2.20585e+08,9.001833e+07,0.40809,0.000366812,0
all-slow,-40,3.63,7,2.70,2.47751e+08,9.055333e+07,0.3655,0.00040423,0
all-slow,27,2.97,0,0.90,3754370,2370067,0.63128,3.33362e-05,0
all-slow,27,2.97,0,1.20,4465390,2469867,0.55311,3.67371e-05,0
all-slow,27,2.97,0,1.50,5236290,2636233,0.50345,3.96906e-05,0
all-slow,27,2.97,0,1.80,6047130,2738500,0.45286,4.39696e-05,0
all-slow,27,2.97,0,2.10,6879390,2794650,0.40624,4.7783e-05,0
all-slow,27,2.97,0,2.40,7723920,2875933,0.37234,5.2566e-05,0
all-slow,27,2.97,0,2.70,8604950,2936767,0.34129,5.67086e-05,0
all-slow,27,2.97,1,0.90,6153400,3881167,0.63074,4.01828e-05,0
all-slow,27,2.97,1,1.20,7317750,4084517,0.55817,4.45206e-05,0
all-slow,27,2.97,1,1.50,8604110,4416750,0.51333,4.96246e-05,0
all-slow,27,2.97,1,1.80,9967800,4610317,0.46252,5.49129e-05,0
all-slow,27,2.97,1,2.10,1.13703e+07,4689000,0.41239,6.0192e-05,1
all-slow,27,2.97,1,2.40,1.27812e+07,4839333,0.37863,6.54482e-05,1
all-slow,27,2.97,1,2.70,1.42739e+07,4975667,0.34858,7.16941e-05,1
all-slow,27,2.97,2,0.90,1.03936e+07,6670667,0.64181,4.51687e-05,1
all-slow,27,2.97,2,1.20,1.23948e+07,7032167,0.56735,5.06399e-05,1
all-slow,27,2.97,2,1.50,1.46129e+07,7633500,0.52238,5.66764e-05,1
all-slow,27,2.97,2,1.80,1.69749e+07,7936667,0.46755,6.3649e-05,1
all-slow,27,2.97,2,2.10,1.93749e+07,8217333,0.42412,7.00366e-05,1
all-slow,27,2.97,2,2.40,2.19053e+07,8515333,0.38873,7.599e-05,1
all-slow,27,2.97,2,2.70,2.44841e+07,8596000,0.35108,8.33038e-05,1
all-slow,27,2.97,3,0.90,1.72469e+07,1.143467e+07,0.663,5.98048e-05,1
all-slow,27,2.97,3,1.20,2.06773e+07,1.204867e+07,0.5827,6.68424e-05,1
all-slow,27,2.97,3,1.50,2.44761e+07,1.299667e+07,0.53099,7.63508e-05,1
all-slow,27,2.97,3,1.80,2.84753e+07,1.365583e+07,0.47957,8.60218e-05,1
all-slow,27,2.97,3,2.10,3.26696e+07,1.42655e+07,0.43666,9.48481e-05,1
all-slow,27,2.97,3,2.40,3.70346e+07,1.478133e+07,0.39912,0.00010518,1
all-slow,27,2.97,3,2.70,4.15384e+07,1.501267e+07,0.36142,0.000115037,1
all-slow,27,2.97,4,0.90,2.98503e+07,2.020333e+07,0.67682,6.5515e-05,1
all-slow,27,2.97,4,1.20,3.59113e+07,2.136717e+07,0.595,7.4882e-05,1
all-slow,27,2.97,4,1.50,4.26706e+07,2.320283e+07,0.54377,8.54478e-05,1
all-slow,27,2.97,4,1.80,4.9833e+07,2.43855e+07,0.48934,9.54998e-05,1
all-slow,27,2.97,4,2.10,5.73019e+07,2.54855e+07,0.44476,0.000107005,1
all-slow,27,2.97,4,2.40,6.51243e+07,2.639883e+07,0.40536,0.000117767,1
all-slow,27,2.97,4,2.70,7.31412e+07,2.6723e+07,0.36536,0.000128789,1
all-slow,27,2.97,5,0.90,5.07193e+07,3.5181e+07,0.69364,9.09677e-05,1
all-slow,27,2.97,5,1.20,6.12736e+07,3.72485e+07,0.6079,0.000106432,1
all-slow,27,2.97,5,1.50,7.30684e+07,4.06235e+07,0.55597,0.00012168,1
all-slow,27,2.97,5,1.80,8.56477e+07,4.28125e+07,0.49987,0.000138092,1
all-slow,27,2.97,5,2.10,9.87559e+07,4.42655e+07,0.44823,0.000154146,1
all-slow,27,2.97,5,2.40,1.12207e+08,4.512017e+07,0.40212,0.000170586,1
all-slow,27,2.97,5,2.70,1.25828e+08,4.540333e+07,0.36084,0.000187965,1
all-slow,27,2.97,6,0.90,8.95822e+07,6.2746e+07,0.70043,0.000131851,1
all-slow,27,2.97,6,1.20,1.08406e+08,6.591467e+07,0.60804,0.000152656,1
all-slow,27,2.97,6,1.50,1.29131e+08,7.049167e+07,0.54589,0.000175424,1
all-slow,27,2.97,6,1.80,1.50701e+08,7.259e+07,0.48168,0.000199688,1
all-slow,27,2.97,6,2.10,1.72685e+08,7.379333e+07,0.42733,0.000224183,1
all-slow,27,2.97,6,2.40,1.94977e+08,7.423333e+07,0.38073,0.000247896,1
all-slow,27,2.97,6,2.70,2.17225e+08,7.416e+07,0.3414,0.000272376,0
all-slow,27,2.97,7,0.90,1.53422e+08,1.027333e+08,0.66961,0.000197193,1
all-slow,27,2.97,7,1.20,1.84242e+08,1.064367e+08,0.5777,0.000231454,1
all-slow,27,2.97,7,1.50,2.17284e+08,1.1105e+08,0.51108,0.000265901,0
all-slow,27,2.97,7,1.80,2.50872e+08,1.11765e+08,0.44551,0.000301498,0
all-slow,27,2.97,7,2.10,2.84343e+08,1.10765e+08,0.38955,0.000338222,0
all-slow,27,2.97,7,2.40,3.17331e+08,1.085183e+08,0.34197,0.00037361,0
all-slow,27,2.97,7,2.70,3.49454e+08,1.070767e+08,0.30641,0.000410635,0
all-slow,27,3.30,0,0.90,3355580,2054533,0.61227,3.6273e-05,0
all-slow,27,3.30,0,1.20,3971940,2151533,0.54168,3.99769e-05,0
all-slow,27,3.30,0,1.50,4646500,2279000,0.49048,4.30057e-05,0
all-slow,27,3.30,0,1.80,5339340,2336567,0.43761,4.82258e-05,0
all-slow,27,3.30,0,2.10,6048440,2426333,0.40115,5.21862e-05,0
all-slow,27,3.30,0,2.40,6795140,2475450,0.3643,5.58054e-05,0
all-slow,27,3.30,0,2.70,7533710,2461900,0.32678,5.99236e-05,0
all-slow,27,3.30,1,0.90,5437850,3336167,0.61351,4.35548e-05,0
all-slow,27,3.30,1,1.20,6438700,3519933,0.54668,4.82085e-05,0
all-slow,27,3.30,1,1.50,7549810,3748333,0.49648,5.23122e-05,0
all-slow,27,3.30,1,1.80,8687700,3871300,0.44561,5.83315e-05,0
all-slow,27,3.30,1,2.10,9872590,3999500,0.40511,6.44903e-05,0
all-slow,27,3.30,1,2.40,1.10874e+07,4036683,0.36408,6.94997e-05,1
all-slow,27,3.30,1,2.70,1.22946e+07,4024000,0.3273,7.53314e-05,1
all-slow,27,3.30,2,0.90,9099370,5698433,0.62624,4.86488e-05,0
all-slow,27,3.30,2,1.20,1.08089e+07,5963883,0.55176,5.53597e-05,1
all-slow,27,3.30,2,1.50,1.26777e+07,6341167,0.50018,6.13613e-05,1
all-slow,27,3.30,2,1.80,1.46136e+07,6619333,0.45296,6.76517e-05,1
all-slow,27,3.30,2,2.10,1.66493e+07,6891667,0.41393,7.45077e-05,1
all-slow,27,3.30,2,2.40,1.87486e+07,6994833,0.37309,8.06346e-05,1
all-slow,27,3.30,2,2.70,2.08462e+07,6992000,0.33541,8.71599e-05,1
all-slow,27,3.30,3,0.90,1.48976e+07,9447667,0.63417,6.36229e-05,1
all-slow,27,3.30,3,1.20,1.77319e+07,9909667,0.55886,7.24968e-05,1
all-slow,27,3.30,3,1.50,2.08434e+07,1.072333e+07,0.51447,8.08211e-05,1
all-slow,27,3.30,3,1.80,2.41659e+07,1.118233e+07,0.46273,9.04483e-05,1
all-slow,27,3.30,3,2.10,2.75528e+07,1.153383e+07,0.41861,0.00010023,1
all-slow,27,3.30,3,2.40,3.10862e+07,1.199583e+07,0.38589,0.000110238,1
all-slow,27,3.30,3,2.70,3.47503e+07,1.221367e+07,0.35147,0.000120151,1
all-slow,27,3.30,4,0.90,2.54839e+07,1.6548e+07,0.64935,7.11725e-05,1
all-slow,27,3.30,4,1.20,3.04483e+07,1.744017e+07,0.57278,7.99138e-05,1
all-slow,27,3.30,4,1.50,3.5948e+07,1.88385e+07,0.52405,9.06552e-05,1
all-slow,27,3.30,4,1.80,4.17514e+07,1.979383e+07,0.47409,0.00010161,1
all-slow,27,3.30,4,2.10,4.78243e+07,2.0595e+07,0.43064,0.00011274,1
all-slow,27,3.30,4,2.40,5.41084e+07,2.1358e+07,0.39473,0.000123544,1
all-slow,27,3.30,4,2.70,6.06391e+07,2.1769e+07,0.35899,0.00013458,1
all-slow,27,3.30,5,0.90,4.25814e+07,2.8437e+07,0.66783,9.75682e-05,1
all-slow,27,3.30,5,1.20,5.11125e+07,3.01465e+07,0.58981,0.00011138,1
all-slow,27,3.30,5,1.50,6.06693e+07,3.293483e+07,0.54286,0.000127044,1
all-slow,27,3.30,5,1.80,7.08734e+07,3.474183e+07,0.4902,0.000144052,1
all-slow,27,3.30,5,2.10,8.15144e+07,3.627383e+07,0.445,0.000161197,1
all-slow,27,3.30,5,2.40,9.26377e+07,3.752267e+07,0.40505,0.000178101,1
all-slow,27,3.30,5,2.70,1.04028e+08,3.796767e+07,0.36498,0.00019529,1
all-slow,27,3.30,6,0.90,7.45899e+07,5.177633e+07,0.69415,0.000137304,1
all-slow,27,3.30,6,1.20,9.01228e+07,5.485517e+07,0.60867,0.000160698,1
all-slow,27,3.30,6,1.50,1.07503e+08,5.997867e+07,0.55793,0.000184062,1
all-slow,27,3.30,6,1.80,1.2611e+08,6.3145e+07,0.50071,0.000209668,1
all-slow,27,3.30,6,2.10,1.4539e+08,6.531167e+07,0.44922,0.000233899,1
all-slow,27,3.30,6,2.40,1.65297e+08,6.689833e+07,0.40472,0.000258536,1
all-slow,27,3.30,6,2.70,1.85529e+08,6.744e+07,0.3635,0.000285689,1
all-slow,27,3.30,7,0.90,1.28665e+08,9.065e+07,0.70454,0.0002063,1
all-slow,27,3.30,7,1.20,1.5586e+08,9.523e+07,0.611,0.000240423,1
all-slow,27,3.30,7,1.50,1.85803e+08,1.019483e+08,0.54869,0.000276764,1
all-slow,27,3.30,7,1.80,2.17029e+08,1.04985e+08,0.48374,0.000315648,0
all-slow,27,3.30,7,2.10,2.48794e+08,1.061617e+08,0.42671,0.000354917,0
all-slow,27,3.30,7,2.40,2.80726e+08,1.064433e+08,0.37917,0.000394264,0
all-slow,27,3.30,7,2.70,3.1266e+08,1.064467e+08,0.34046,0.0004338,0
all-slow,27,3.63,0,0.90,3094780,1848033,0.59715,4.10457e-05,0
all-slow,27,3.63,0,1.20,3649190,1912083,0.52397,4.44813e-05,0
all-slow,27,3.63,0,1.50,4242030,2026117,0.47763,4.76818e-05,0
all-slow,27,3.63,0,1.80,4864860,2105000,0.43269,5.13351e-05,0
all-slow,27,3.63,0,2.10,5505030,2141783,0.38906,5.65188e-05,0
all-slow,27,3.63,0,2.40,6149930,2183167,0.35499,5.9856e-05,0
all-slow,27,3.63,0,2.70,6814930,2216667,0.32527,6.45981e-05,0
all-slow,27,3.63,1,0.90,4964850,2977800,0.59978,4.70456e-05,0
all-slow,27,3.63,1,1.20,5858190,3103467,0.52977,5.17805e-05,0
all-slow,27,3.63,1,1.50,6826930,3288867,0.48175,5.63159e-05,0
all-slow,27,3.63,1,1.80,7831510,3395983,0.43363,6.23444e-05,0
all-slow,27,3.63,1,2.10,8864520,3517850,0.39685,6.87091e-05,0
all-slow,27,3.63,1,2.40,9942220,3565800,0.35865,7.4312e-05,0
all-slow,27,3.63,1,2.70,1.1004e+07,3539267,0.32163,8.02239e-05,1
all-slow,27,3.63,2,0.90,8250990,4995467,0.60544,5.3355e-05,0
all-slow,27,3.63,2,1.20,9749630,5204850,0.53385,5.8605e-05,0
all-slow,27,3.63,2,1.50,1.13739e+07,5558950,0.48875,6.60985e-05,1
all-slow,27,3.63,2,1.80,1.3085e+07,5780500,0.44177,7.20385e-05,1
all-slow,27,3.63,2,2.10,1.48422e+07,5937500,0.40004,7.8824e-05,1
all-slow,27,3.63,2,2.40,1.66475e+07,6028833,0.36215,8.5963e-05,1
all-slow,27,3.63,2,2.70,1.84595e+07,6040000,0.3272,9.35306e-05,1
all-slow,27,3.63,3,0.90,1.33531e+07,8199333,0.61404,6.91399e-05,1
all-slow,27,3.63,3,1.20,1.58129e+07,8581667,0.5427,7.74643e-05,1
all-slow,27,3.63,3,1.50,1.85021e+07,9229667,0.49884,8.6532e-05,1
all-slow,27,3.63,3,1.80,2.13507e+07,9648500,0.45191,9.68686e-05,1
all-slow,27,3.63,3,2.10,2.42912e+07,9895667,0.40738,0.00010556,1
all-slow,27,3.63,3,2.40,2.72881e+07,1.0198e+07,0.37372,0.000116579,1
all-slow,27,3.63,3,2.70,3.041e+07,1.040633e+07,0.3422,0.000125604,1
all-slow,27,3.63,4,0.90,2.26899e+07,1.420967e+07,0.62626,7.72807e-05,1
all-slow,27,3.63,4,1.20,2.69528e+07,1.49295e+07,0.55391,8.64849e-05,1
all-slow,27,3.63,4,1.50,3.16476e+07,1.604283e+07,0.50692,9.75024e-05,1
all-slow,27,3.63,4,1.80,3.65785e+07,1.681483e+07,0.45969,0.000108264,1
all-slow,27,3.63,4,2.10,4.17365e+07,1.718733e+07,0.41181,0.000119523,1
all-slow,27,3.63,4,2.40,4.68909e+07,1.7808e+07,0.37978,0.000130792,1
all-slow,27,3.63,4,2.70,5.24213e+07,1.843467e+07,0.35166,0.000143733,1
all-slow,27,3.63,5,0.90,3.73497e+07,2.403933e+07,0.64363,0.000104836,1
all-slow,27,3.63,5,1.20,4.45615e+07,2.538683e+07,0.5697,0.000118564,1
all-slow,27,3.63,5,1.50,5.25818e+07,2.757433e+07,0.52441,0.000134976,1
all-slow,27,3.63,5,1.80,6.11061e+07,2.903367e+07,0.47514,0.000151749,1
all-slow,27,3.63,5,2.10,7.0002e+07,3.02505e+07,0.43214,0.00016834,1
all-slow,27,3.63,5,2.40,7.92564e+07,3.13485e+07,0.39553,0.000186175,1
all-slow,27,3.63,5,2.70,8.88111e+07,3.1849e+07,0.35862,0.000205873,1
all-slow,27,3.63,6,0.90,6.46475e+07,4.334133e+07,0.67043,0.000145659,1
all-slow,27,3.63,6,1.20,7.76499e+07,4.5899e+07,0.5911,0.000168355,1
all-slow,27,3.63,6,1.50,9.21869e+07,5.015683e+07,0.54408,0.000192121,1
all-slow,27,3.63,6,1.80,1.07744e+08,5.30585e+07,0.49245,0.000217576,1
all-slow,27,3.63,6,2.10,1.24022e+08,5.55e+07,0.4475,0.000243455,1
all-slow,27,3.63,6,2.40,1.41044e+08,5.801167e+07,0.4113,0.000270482,1
all-slow,27,3.63,6,2.70,1.58829e+08,5.928333e+07,0.37325,0.000298088,1
all-slow,27,3.63,7,0.90,1.10193e+08,7.700667e+07,0.69883,0.000214946,1
all-slow,27,3.63,7,1.20,1.33295e+08,8.164167e+07,0.61249,0.000250649,1
all-slow,27,3.63,7,1.50,1.59178e+08,8.898833e+07,0.55905,0.000291392,1
all-slow,27,3.63,7,1.80,1.86688e+08,9.349333e+07,0.5008,0.000328153,1
all-slow,27,3.63,7,2.10,2.15274e+08,9.6665e+07,0.44903,0.00036891,0
all-slow,27,3.63,7,2.40,2.44687e+08,9.865833e+07,0.4032,0.000409899,0
all-slow,27,3.63,7,2.70,2.74469e+08,9.927333e+07,0.36169,0.000451947,0
all-slow,125,2.97,0,0.90,3990910,2481400,0.62176,4.32108e-05,0
all-slow,125,2.97,0,1.20,4735330,2601000,0.54928,4.67626e-05,0
all-slow,125,2.97,0,1.50,5551510,2768983,0.49878,5.07734e-05,0
all-slow,125,2.97,0,1.80,6396720,2856033,0.44648,5.56874e-05,0
all-slow,125,2.97,0,2.10,7265130,2668817,0.36735,6.03092e-05,0
all-slow,125,2.97,0,2.40,7998010,3023650,0.37805,6.42481e-05,0
all-slow,125,2.97,0,2.70,9079320,3604367,0.39699,6.93015e-05,0
all-slow,125,2.97,1,0.90,6559880,4133733,0.63015,5.15723e-05,0
all-slow,125,2.97,1,1.20,7800000,4322100,0.55412,5.61764e-05,0
all-slow,125,2.97,1,1.50,9153140,4597000,0.50223,6.1678e-05,0
all-slow,125,2.97,1,1.80,1.05582e+07,4797767,0.45441,6.79325e-05,1
all-slow,125,2.97,1,2.10,1.20318e+07,4962667,0.41246,7.4527e-05,1
all-slow,125,2.97,1,2.40,1.35358e+07,5085000,0.37567,8.01526e-05,1
all-slow,125,2.97,1,2.70,1.50828e+07,5156667,0.34189,8.64832e-05,1
all-slow,125,2.97,2,0.90,1.09855e+07,7093333,0.6457,5.73182e-05,1
all-slow,125,2.97,2,1.20,1.31135e+07,7401667,0.56443,6.3352e-05,1
all-slow,125,2.97,2,1.50,1.54265e+07,7949667,0.51533,6.98877e-05,1
all-slow,125,2.97,2,1.80,1.78833e+07,8349333,0.46688,7.74558e-05,1
all-slow,125,2.97,2,2.10,2.04361e+07,8620667,0.42184,8.48324e-05,1
all-slow,125,2.97,2,2.40,2.30557e+07,8846167,0.38369,9.36438e-05,1
all-slow,125,2.97,2,2.70,2.57438e+07,8960333,0.34806,0.000100184,1
all-slow,125,2.97,3,0.90,1.83578e+07,1.2132e+07,0.66086,7.29786e-05,1
all-slow,125,2.97,3,1.20,2.19974e+07,1.270817e+07,0.57771,8.18574e-05,1
all-slow,125,2.97,3,1.50,2.59827e+07,1.373467e+07,0.52861,9.25462e-05,1
all-slow,125,2.97,3,1.80,3.02382e+07,1.443767e+07,0.47746,0.000103319,1
all-slow,125,2.97,3,2.10,3.46453e+07,1.502033e+07,0.43355,0.000113937,1
all-slow,125,2.97,3,2.40,3.92504e+07,1.563167e+07,0.39825,0.000125264,1
all-slow,125,2.97,3,2.70,4.40243e+07,1.5913e+07,0.36146,0.000135651,1
all-slow,125,2.97,4,0.90,3.26927e+07,2.2169e+07,0.6781,8.11979e-05,1
all-slow,125,2.97,4,1.20,3.93434e+07,2.3346e+07,0.59339,9.27395e-05,1
all-slow,125,2.97,4,1.50,4.67003e+07,2.532167e+07,0.54222,0.0001038,1
all-slow,125,2.97,4,1.80,5.45364e+07,2.67045e+07,0.48966,0.00011639,1
all-slow,125,2.97,4,2.10,6.2723e+07,2.7901e+07,0.44483,0.000128994,1
all-slow,125,2.97,4,2.40,7.1277e+07,2.908517e+07,0.40806,0.000140647,1
all-slow,125,2.97,4,2.70,8.01741e+07,2.9657e+07,0.36991,0.000154141,1
all-slow,125,2.97,5,0.90,5.60901e+07,3.925967e+07,0.69994,0.000112915,1
all-slow,125,2.97,5,1.20,6.7868e+07,4.133967e+07,0.60912,0.000128841,1
all-slow,125,2.97,5,1.50,8.08939e+07,4.4746e+07,0.55314,0.000146945,1
all-slow,125,2.97,5,1.80,9.47156e+07,4.710517e+07,0.49733,0.000165549,1
all-slow,125,2.97,5,2.10,1.09157e+08,4.8709e+07,0.44623,0.000183589,1
all-slow,125,2.97,5,2.40,1.23941e+08,4.9745e+07,0.40136,0.000203525,1
all-slow,125,2.97,5,2.70,1.39004e+08,5.021e+07,0.36121,0.000222548,1
all-slow,125,2.97,6,0.90,9.88659e+07,6.963033e+07,0.70429,0.000157019,1
all-slow,125,2.97,6,1.20,1.19755e+08,7.255517e+07,0.60586,0.000182256,1
all-slow,125,2.97,6,1.50,1.42399e+08,7.689e+07,0.53996,0.000208882,1
all-slow,125,2.97,6,1.80,1.65889e+08,7.874667e+07,0.47469,0.000237359,1
all-slow,125,2.97,6,2.10,1.89647e+08,7.926833e+07,0.41798,0.000262951,1
all-slow,125,2.97,6,2.40,2.1345e+08,7.902667e+07,0.37024,0.000290291,0
all-slow,125,2.97,6,2.70,2.37063e+08,7.871e+07,0.33202,0.000317494,0
all-slow,125,2.97,7,0.90,1.70477e+08,1.1189e+08,0.65633,0.000234976,1
all-slow,125,2.97,7,1.20,2.04044e+08,1.144867e+08,0.56109,0.000273176,0
all-slow,125,2.97,7,1.50,2.39169e+08,1.170333e+08,0.48933,0.000310895,0
all-slow,125,2.97,7,1.80,2.74264e+08,1.15665e+08,0.42173,0.00035365,0
all-slow,125,2.97,7,2.10,3.08568e+08,1.125167e+08,0.36464,0.000391816,0
all-slow,125,2.97,7,2.40,3.41774e+08,1.084133e+08,0.31721,0.000431991,0
all-slow,125,2.97,7,2.70,3.73616e+08,1.0614e+08,0.28409,0.000469838,0
all-slow,125,3.30,0,0.90,3581470,2183233,0.60959,4.62573e-05,0
all-slow,125,3.30,0,1.20,4236440,2266033,0.53489,5.0049e-05,0
all-slow,125,3.30,0,1.50,4941090,2395467,0.48481,5.44214e-05,0
all-slow,125,3.30,0,1.80,5673720,2484983,0.43798,5.9032e-05,0
all-slow,125,3.30,0,2.10,6432080,2539633,0.39484,6.42377e-05,0
all-slow,125,3.30,0,2.40,7197500,2581733,0.3587,6.80448e-05,0
all-slow,125,3.30,0,2.70,7981120,2612067,0.32728,7.30446e-05,0
all-slow,125,3.30,1,0.90,5833580,3558933,0.61008,5.45793e-05,0
all-slow,125,3.30,1,1.20,6901260,3726000,0.5399,6.02533e-05,0
all-slow,125,3.30,1,1.50,8069180,3949700,0.48948,6.57673e-05,0
all-slow,125,3.30,1,1.80,9271080,4110867,0.44341,7.17233e-05,0
all-slow,125,3.30,1,2.10,1.05357e+07,4224533,0.40097,7.80905e-05,1
all-slow,125,3.30,1,2.40,1.18058e+07,4282833,0.36277,8.45876e-05,1
all-slow,125,3.30,1,2.70,1.31054e+07,4332000,0.33055,9.05297e-05,1
all-slow,125,3.30,2,0.90,9689840,6030533,0.62236,6.17255e-05,0
all-slow,125,3.30,2,1.20,1.1499e+07,6318600,0.54949,6.72142e-05,1
all-slow,125,3.30,2,1.50,1.3481e+07,6761833,0.50158,7.46819e-05,1
all-slow,125,3.30,2,1.80,1.55561e+07,7011500,0.45072,8.16623e-05,1
all-slow,125,3.30,2,2.10,1.76879e+07,7222333,0.40832,8.91856e-05,1
all-slow,125,3.30,2,2.40,1.98895e+07,7434167,0.37377,9.68091e-05,1
all-slow,125,3.30,2,2.70,2.21484e+07,7529667,0.33996,0.000103996,1
all-slow,125,3.30,3,0.90,1.59803e+07,1.0207e+07,0.63872,7.81774e-05,1
all-slow,125,3.30,3,1.20,1.90424e+07,1.068033e+07,0.56087,8.67574e-05,1
all-slow,125,3.30,3,1.50,2.23885e+07,1.14175e+07,0.50997,9.70163e-05,1
all-slow,125,3.30,3,1.80,2.58929e+07,1.194783e+07,0.46143,0.0001082,1
all-slow,125,3.30,3,2.10,2.95572e+07,1.242533e+07,0.42038,0.000118689,1
all-slow,125,3.30,3,2.40,3.33481e+07,1.286983e+07,0.38592,0.000130403,1
all-slow,125,3.30,3,2.70,3.72791e+07,1.310333e+07,0.35149,0.000141666,1
all-slow,125,3.30,4,0.90,2.81573e+07,1.832833e+07,0.65093,8.63452e-05,1
all-slow,125,3.30,4,1.20,3.36558e+07,1.927133e+07,0.5726,9.73705e-05,1
all-slow,125,3.30,4,1.50,3.97201e+07,2.08015e+07,0.5237,0.000109889,1
all-slow,125,3.30,4,1.80,4.61367e+07,2.187017e+07,0.47403,0.000121891,1
all-slow,125,3.30,4,2.10,5.28422e+07,2.280017e+07,0.43148,0.00013509,1
all-slow,125,3.30,4,2.40,5.98168e+07,2.375617e+07,0.39715,0.000146647,1
all-slow,125,3.30,4,2.70,6.70959e+07,2.426367e+07,0.36163,0.000160207,1
all-slow,125,3.30,5,0.90,4.75101e+07,3.204733e+07,0.67454,0.000117826,1
all-slow,125,3.30,5,1.20,5.71243e+07,3.38155e+07,0.59196,0.000135722,1
all-slow,125,3.30,5,1.50,6.77994e+07,3.675733e+07,0.54215,0.000153205,1
all-slow,125,3.30,5,1.80,7.91787e+07,3.90155e+07,0.49275,0.000172326,1
all-slow,125,3.30,5,2.10,9.12087e+07,4.08355e+07,0.44771,0.000190413,1
all-slow,125,3.30,5,2.40,1.0368e+08,4.22055e+07,0.40707,0.000211561,1
all-slow,125,3.30,5,2.70,1.16532e+08,4.284e+07,0.36762,0.000231359,1
all-slow,125,3.30,6,0.90,8.31234e+07,5.8602e+07,0.705,0.000165394,1
all-slow,125,3.30,6,1.20,1.00704e+08,6.167933e+07,0.61248,0.000189612,1
all-slow,125,3.30,6,1.50,1.20131e+08,6.673833e+07,0.55555,0.000217245,1
all-slow,125,3.30,6,1.80,1.40747e+08,6.993667e+07,0.4969,0.000245408,1
all-slow,125,3.30,6,2.10,1.62093e+08,7.193167e+07,0.44377,0.000274045,1
all-slow,125,3.30,6,2.40,1.83906e+08,7.323167e+07,0.3982,0.000304402,1
all-slow,125,3.30,6,2.70,2.06032e+08,7.375333e+07,0.35797,0.000332482,0
all-slow,125,3.30,7,0.90,1.45159e+08,1.0132e+08,0.69799,0.000244023,1
all-slow,125,3.30,7,1.20,1.75555e+08,1.0516e+08,0.59901,0.000284353,1
all-slow,125,3.30,7,1.50,2.08255e+08,1.105033e+08,0.53062,0.000326556,0
all-slow,125,3.30,7,1.80,2.41857e+08,1.121583e+08,0.46374,0.000369447,0
all-slow,125,3.30,7,2.10,2.7555e+08,1.11775e+08,0.40564,0.000412328,0
all-slow,125,3.30,7,2.40,3.08922e+08,1.099883e+08,0.35604,0.000452415,0
all-slow,125,3.30,7,2.70,3.41543e+08,1.087367e+08,0.31837,0.000497765,0
all-slow,125,3.63,0,0.90,3300780,1958933,0.59348,5.01119e-05,0
all-slow,125,3.63,0,1.20,3888460,2035083,0.52336,5.36058e-05,0
all-slow,125,3.63,0,1.50,4521830,2146300,0.47465,5.89919e-05,0
all-slow,125,3.63,0,1.80,5176240,2213967,0.42772,6.25868e-05,0
all-slow,125,3.63,0,2.10,5850210,2260583,0.38641,6.75354e-05,0
all-slow,125,3.63,0,2.40,6532590,2317617,0.35478,7.1761e-05,0
all-slow,125,3.63,0,2.70,7240780,2360633,0.32602,7.79382e-05,0
all-slow,125,3.63,1,0.90,5329220,3187300,0.59808,5.81153e-05,0
all-slow,125,3.63,1,1.20,6285410,3306967,0.52613,6.33e-05,0
all-slow,125,3.63,1,1.50,7313400,3500633,0.47866,6.94322e-05,0
all-slow,125,3.63,1,1.80,8385790,3630683,0.43296,7.60241e-05,0
all-slow,125,3.63,1,2.10,9491810,3707683,0.39062,8.24405e-05,0
all-slow,125,3.63,1,2.40,1.06104e+07,3760817,0.35445,8.89254e-05,1
all-slow,125,3.63,1,2.70,1.17483e+07,3793000,0.32286,9.57395e-05,1
all-slow,125,3.63,2,0.90,8797590,5328033,0.60562,6.45339e-05,0
all-slow,125,3.63,2,1.20,1.0396e+07,5568350,0.53562,7.17373e-05,1
all-slow,125,3.63,2,1.50,1.21386e+07,5894667,0.48561,7.91497e-05,1
all-slow,125,3.63,2,1.80,1.39328e+07,6134167,0.44027,8.67304e-05,1
all-slow,125,3.63,2,2.10,1.58191e+07,6349833,0.4014,9.40582e-05,1
all-slow,125,3.63,2,2.40,1.77427e+07,6447667,0.3634,0.000102134,1
all-slow,125,3.63,2,2.70,1.96877e+07,6483333,0.32931,0.000109977,1
all-slow,125,3.63,3,0.90,1.43584e+07,8907333,0.62036,8.2893e-05,1
all-slow,125,3.63,3,1.20,1.70306e+07,9255000,0.54343,9.20361e-05,1
all-slow,125,3.63,3,1.50,1.99114e+07,9863333,0.49536,0.000102073,1
all-slow,125,3.63,3,1.80,2.29486e+07,1.035883e+07,0.45139,0.000113402,1
all-slow,125,3.63,3,2.10,2.61267e+07,1.0674e+07,0.40855,0.000124567,1
all-slow,125,3.63,3,2.40,2.9353e+07,1.094767e+07,0.37297,0.000135735,1
all-slow,125,3.63,3,2.70,3.26953e+07,1.1141e+07,0.34075,0.000147624,1
all-slow,125,3.63,4,0.90,2.51161e+07,1.581433e+07,0.62965,9.24023e-05,1
all-slow,125,3.63,4,1.20,2.98604e+07,1.65635e+07,0.5547,0.000102983,1
all-slow,125,3.63,4,1.50,3.50542e+07,1.776833e+07,0.50688,0.000116058,1
