bundle,temp_c,vdd_v,band,f_at_vctrl_min_hz,f_at_vctrl_max_hz,fine_range_ratio,kvco_min_hz_per_v,kvco_max_hz_per_v,kvco_mean_hz_per_v,isupply_min_a,isupply_max_a
ff,125,3.30,1,6746390,1.56196e+07,2.315,4.5702e+06,5.28133e+06,4.92956e+06,7.85728e-05,0.000128637
ff,125,3.30,2,1.11236e+07,2.61269e+07,2.349,7.63367e+06,8.88533e+06,8.33517e+06,8.71399e-05,0.000146931
ff,125,3.30,3,1.81382e+07,4.33522e+07,2.39,1.2739e+07,1.4963e+07,1.40078e+07,0.000107526,0.000196082
ff,125,3.30,4,3.17752e+07,7.72953e+07,2.433,2.2585e+07,2.75123e+07,2.52889e+07,0.000121878,0.000222911
ff,125,3.30,5,5.27288e+07,1.32566e+08,2.514,3.8736e+07,4.91033e+07,4.4354e+07,0.000162305,0.00031557
ff,125,3.30,6,9.08234e+07,2.38335e+08,2.624,7.01953e+07,9.11467e+07,8.19509e+07,0.000224483,0.00045287
ff,125,3.30,7,1.57275e+08,4.16697e+08,2.649,1.27557e+08,1.5259e+08,1.44123e+08,0.000324983,0.000682142
ff,125,3.63,0,3964530,8900200,2.245,2.58483e+06,2.83457e+06,2.74204e+06,7.71675e-05,0.0001116
ff,125,3.63,1,6329170,1.4337e+07,2.265,4.14657e+06,4.667e+06,4.44879e+06,8.70315e-05,0.000134976
ff,125,3.63,2,1.03727e+07,2.3825e+07,2.297,6.915e+06,7.899e+06,7.4735e+06,9.58072e-05,0.000157156
ff,125,3.63,3,1.67552e+07,3.91257e+07,2.335,1.1359e+07,1.32643e+07,1.24281e+07,0.000117898,0.000204572
ff,125,3.63,4,2.92264e+07,6.93266e+07,2.372,2.01733e+07,2.403e+07,2.22779e+07,0.000132927,0.000235313
ff,125,3.63,5,4.79761e+07,1.17204e+08,2.443,3.4002e+07,4.21967e+07,3.84599e+07,0.000175413,0.000329481
ff,125,3.63,6,8.18524e+07,2.09057e+08,2.554,6.08487e+07,7.873e+07,7.06692e+07,0.000232808,0.000471318
ff,125,3.63,7,1.39646e+08,3.68364e+08,2.638,1.09547e+08,1.39047e+08,1.27066e+08,0.000341244,0.000709404
fs,-40,2.97,0,4237750,1.01039e+07,2.384,2.99243e+06,3.51913e+06,3.25897e+06,3.74765e-05,6.40955e-05
fs,-40,2.97,1,6867340,1.65446e+07,2.409,4.87687e+06,5.817e+06,5.37626e+06,4.3326e-05,8.10616e-05
fs,-40,2.97,2,1.16469e+07,2.8343e+07,2.434,8.363e+06,9.92833e+06,9.27561e+06,4.99841e-05,9.43459e-05
fs,-40,2.97,3,1.90711e+07,4.73025e+07,2.48,1.39647e+07,1.69757e+07,1.56841e+07,6.48558e-05,0.000129719
fs,-40,2.97,4,3.19429e+07,8.06824e+07,2.526,2.39987e+07,2.96393e+07,2.70775e+07,7.19971e-05,0.000147485
fs,-40,2.97,5,5.33387e+07,1.37707e+08,2.582,4.0913e+07,5.16033e+07,4.68713e+07,9.92289e-05,0.000212529
fs,-40,2.97,6,9.40975e+07,2.43657e+08,2.589,7.37483e+07,8.92367e+07,8.30886e+07,0.000143526,0.000311587
fs,-40,2.97,7,1.60223e+08,4.03389e+08,2.518,1.25947e+08,1.38343e+08,1.35092e+08,0.000211615,0.00047185
fs,-40,3.30,0,3843480,8922280,2.321,2.61817e+06,2.94523e+06,2.82156e+06,4.09886e-05,6.84601e-05
fs,-40,3.30,1,6161370,1.44424e+07,2.344,4.2398e+06,4.82967e+06,4.60057e+06,4.86236e-05,8.55602e-05
fs,-40,3.30,2,1.03564e+07,2.44669e+07,2.362,7.14767e+06,8.25433e+06,7.83917e+06,5.38074e-05,0.000100851
fs,-40,3.30,3,1.67189e+07,4.02464e+07,2.407,1.18107e+07,1.42827e+07,1.30708e+07,7.09291e-05,0.000137337
fs,-40,3.30,4,2.77849e+07,6.82917e+07,2.458,1.99983e+07,2.4452e+07,2.25038e+07,7.87382e-05,0.000155651
fs,-40,3.30,5,4.57058e+07,1.14993e+08,2.516,3.3786e+07,4.174e+07,3.84929e+07,0.000107345,0.00022406
fs,-40,3.30,6,7.9881e+07,2.06087e+08,2.58,6.08703e+07,7.76333e+07,7.01144e+07,0.000150892,0.000326235
fs,-40,3.30,7,1.3506e+08,3.51939e+08,2.606,1.06293e+08,1.29057e+08,1.20488e+08,0.000225286,0.000496608
fs,-40,3.63,0,3578650,8170660,2.283,2.39113e+06,2.66157e+06,2.55112e+06,4.56041e-05,7.41677e-05
fs,-40,3.63,1,5693340,1.30531e+07,2.293,3.8021e+06,4.29133e+06,4.08876e+06,5.43257e-05,9.22891e-05
fs,-40,3.63,2,9518170,2.18961e+07,2.3,6.3891e+06,7.13733e+06,6.87663e+06,5.956e-05,0.000108531
fs,-40,3.63,3,1.51934e+07,3.56455e+07,2.346,1.032e+07,1.20717e+07,1.13623e+07,7.66009e-05,0.000145223
fs,-40,3.63,4,2.51121e+07,5.99655e+07,2.388,1.74697e+07,2.09497e+07,1.9363e+07,8.67886e-05,0.000164748
fs,-40,3.63,5,4.0719e+07,9.97733e+07,2.45,2.90703e+07,3.56617e+07,3.28079e+07,0.000113917,0.000237234
fs,-40,3.63,6,7.04916e+07,1.77488e+08,2.518,5.1901e+07,6.58767e+07,5.94424e+07,0.000162308,0.000341768
fs,-40,3.63,7,1.17571e+08,3.05131e+08,2.595,8.97833e+07,1.14673e+08,1.042e+08,0.000239411,0.000517931
fs,27,2.97,0,4475210,1.06496e+07,2.38,3.15517e+06,3.60143e+06,3.43022e+06,4.37286e-05,7.44553e-05
fs,27,2.97,1,7288430,1.7523e+07,2.404,5.1642e+06,6.01467e+06,5.68587e+06,5.13042e-05,9.36447e-05
fs,27,2.97,2,1.22323e+07,2.98599e+07,2.441,8.87033e+06,1.0431e+07,9.79311e+06,5.84892e-05,0.000108116
fs,27,2.97,3,2.01624e+07,5.02976e+07,2.495,1.48267e+07,1.8305e+07,1.67418e+07,7.57524e-05,0.000148597
fs,27,2.97,4,3.46737e+07,8.82866e+07,2.546,2.62133e+07,3.29403e+07,2.97849e+07,8.36053e-05,0.000168255
fs,27,2.97,5,5.8353e+07,1.52027e+08,2.605,4.53387e+07,5.678e+07,5.20411e+07,0.000115337,0.000242899
fs,27,2.97,6,1.02513e+08,2.66503e+08,2.6,8.202e+07,9.55933e+07,9.11056e+07,0.000164475,0.00035281
fs,27,2.97,7,1.76699e+08,4.36242e+08,2.469,1.3914e+08,1.47157e+08,1.44191e+08,0.000245303,0.00052927
fs,27,3.30,0,4045430,9442840,2.334,2.77037e+06,3.1745e+06,2.99856e+06,4.68399e-05,7.84263e-05
fs,27,3.30,1,6527400,1.53438e+07,2.351,4.49253e+06,5.188e+06,4.898e+06,5.61941e-05,9.76678e-05
fs,27,3.30,2,1.08769e+07,2.58638e+07,2.378,7.602e+06,8.776e+06,8.32606e+06,6.25077e-05,0.000114596
fs,27,3.30,3,1.76992e+07,4.29073e+07,2.424,1.2593e+07,1.5027e+07,1.40045e+07,8.02464e-05,0.000155398
fs,27,3.30,4,3.01917e+07,7.46807e+07,2.474,2.1893e+07,2.69203e+07,2.47161e+07,8.90447e-05,0.000177009
fs,27,3.30,5,5.00582e+07,1.27437e+08,2.546,3.75303e+07,4.68033e+07,4.29882e+07,0.000122076,0.000251957
fs,27,3.30,6,8.71619e+07,2.27808e+08,2.614,6.77937e+07,8.50733e+07,7.81367e+07,0.000174145,0.000369444
fs,27,3.30,7,1.49434e+08,3.87576e+08,2.594,1.19723e+08,1.37597e+08,1.32301e+08,0.000256201,0.000555793
fs,27,3.63,0,3753480,8597560,2.291,2.51527e+06,2.8246e+06,2.69116e+06,5.23972e-05,8.39979e-05
fs,27,3.63,1,6000880,1.38478e+07,2.308,4.02353e+06,4.553e+06,4.3594e+06,6.159e-05,0.000103852
fs,27,3.63,2,9955720,2.31809e+07,2.328,6.75893e+06,7.84067e+06,7.34732e+06,6.85534e-05,0.000121418
fs,27,3.63,3,1.60276e+07,3.79824e+07,2.37,1.106e+07,1.31193e+07,1.21971e+07,8.61807e-05,0.000165419
fs,27,3.63,4,2.71858e+07,6.54122e+07,2.406,1.91043e+07,2.28463e+07,2.12369e+07,9.75222e-05,0.000186101
fs,27,3.63,5,4.45233e+07,1.10442e+08,2.481,3.22637e+07,4.05667e+07,3.66215e+07,0.000132012,0.000263121
fs,27,3.63,6,7.67547e+07,1.96715e+08,2.563,5.74993e+07,7.40867e+07,6.66446e+07,0.000185031,0.000383337
fs,27,3.63,7,1.29891e+08,3.40784e+08,2.624,1.0194e+08,1.2709e+08,1.17163e+08,0.000270093,0.000580312
fs,125,2.97,0,4822690,1.12883e+07,2.341,3.2949e+06,3.80333e+06,3.59201e+06,5.75686e-05,9.19361e-05
fs,125,2.97,1,7884990,1.86838e+07,2.37,5.45697e+06,6.37033e+06,5.99934e+06,6.72956e-05,0.000113769
fs,125,2.97,2,1.31634e+07,3.17691e+07,2.413,9.28333e+06,1.1123e+07,1.03365e+07,7.50482e-05,0.000131744
fs,125,2.97,3,2.18775e+07,5.39559e+07,2.466,1.57557e+07,1.93097e+07,1.78213e+07,9.45687e-05,0.000177424
fs,125,2.97,4,3.88346e+07,9.80883e+07,2.526,2.86757e+07,3.65563e+07,3.29187e+07,0.000105488,0.000202088
fs,125,2.97,5,6.60953e+07,1.70652e+08,2.582,5.05767e+07,6.324e+07,5.80871e+07,0.000144444,0.000290626
fs,125,2.97,6,1.16243e+08,2.94985e+08,2.538,9.12867e+07,1.02318e+08,9.93011e+07,0.000201858,0.00041298
fs,125,2.97,7,2.02003e+08,4.71136e+08,2.332,1.39777e+08,1.54707e+08,1.49518e+08,0.000296082,0.000607619
fs,125,3.30,0,4361610,1.00284e+07,2.299,2.91837e+06,3.34977e+06,3.14822e+06,6.12688e-05,9.62078e-05
fs,125,3.30,1,7077560,1.64156e+07,2.319,4.75043e+06,5.509e+06,5.1878e+06,7.23188e-05,0.000120235
fs,125,3.30,2,1.17291e+07,2.76495e+07,2.357,8.041e+06,1.05557e+07,8.84467e+06,8.02512e-05,0.000137812
fs,125,3.30,3,1.92674e+07,4.63547e+07,2.406,1.34737e+07,1.62507e+07,1.50485e+07,0.000100861,0.000185468
fs,125,3.30,4,3.3835e+07,8.33359e+07,2.463,2.4425e+07,3.01827e+07,2.75005e+07,0.000112322,0.00021052
fs,125,3.30,5,5.68945e+07,1.44527e+08,2.54,4.20933e+07,5.42367e+07,4.86847e+07,0.000150547,0.000300128
fs,125,3.30,6,9.91325e+07,2.56493e+08,2.587,7.67217e+07,9.38933e+07,8.74225e+07,0.000209668,0.000430736
fs,125,3.30,7,1.72828e+08,4.28728e+08,2.481,1.34817e+08,1.4547e+08,1.42167e+08,0.000310802,0.00064316
fs,125,3.63,0,4042930,9142270,2.261,2.6415e+06,3.0151e+06,2.83297e+06,6.65411e-05,0.000103462
fs,125,3.63,1,6502840,1.48139e+07,2.278,4.27857e+06,4.864e+06,4.61726e+06,7.85133e-05,0.000126186
fs,125,3.63,2,1.07277e+07,2.47674e+07,2.309,7.14033e+06,8.23533e+06,7.79983e+06,8.77743e-05,0.000144585
fs,125,3.63,3,1.74536e+07,4.10397e+07,2.351,1.18303e+07,1.3996e+07,1.31034e+07,0.000106968,0.00019275
fs,125,3.63,4,3.05454e+07,7.30793e+07,2.392,2.10627e+07,2.56857e+07,2.36299e+07,0.00011926,0.000219911
fs,125,3.63,5,5.05932e+07,1.252e+08,2.475,3.6122e+07,4.58367e+07,4.14482e+07,0.000161331,0.000310674
fs,125,3.63,6,8.72461e+07,2.23846e+08,2.566,6.54463e+07,8.35467e+07,7.58888e+07,0.000220384,0.000447934
fs,125,3.63,7,1.50685e+08,3.85068e+08,2.555,1.17357e+08,1.3574e+08,1.30213e+08,0.000325036,0.00067024
sf,-40,2.97,0,4236250,9522040,2.248,2.5693e+06,3.1295e+06,2.93655e+06,3.87118e-05,6.58835e-05
sf,-40,2.97,1,6850290,1.55667e+07,2.272,4.2436e+06,5.26067e+06,4.84245e+06,4.71373e-05,8.21463e-05
sf,-40,2.97,2,1.16031e+07,2.65984e+07,2.292,7.119e+06,9.161e+06,8.33072e+06,5.27997e-05,9.67669e-05
sf,-40,2.97,3,1.89503e+07,4.42519e+07,2.335,1.21023e+07,1.52642e+07,1.40564e+07,6.89905e-05,0.000131865
sf,-40,2.97,4,3.17459e+07,7.58305e+07,2.389,2.05533e+07,2.68483e+07,2.44914e+07,7.55483e-05,0.000147355
sf,-40,2.97,5,5.30698e+07,1.30673e+08,2.462,3.5587e+07,4.81333e+07,4.31129e+07,0.000104586,0.000214627
sf,-40,2.97,6,9.41827e+07,2.36201e+08,2.508,6.53743e+07,8.674e+07,7.88991e+07,0.000151333,0.000314501
sf,-40,2.97,7,1.62786e+08,3.99645e+08,2.455,1.15283e+08,1.37767e+08,1.31588e+08,0.000225309,0.000477396
sf,-40,3.30,0,3866780,8517470,2.203,2.27737e+06,2.78353e+06,2.58372e+06,4.44908e-05,7.06202e-05
sf,-40,3.30,1,6194530,1.37716e+07,2.223,3.68237e+06,4.574e+06,4.20948e+06,5.20745e-05,8.74483e-05
sf,-40,3.30,2,1.04026e+07,2.32837e+07,2.238,6.214e+06,7.89867e+06,7.15617e+06,5.79778e-05,0.000102963
sf,-40,3.30,3,1.67886e+07,3.80732e+07,2.268,1.0227e+07,1.26617e+07,1.18248e+07,7.48415e-05,0.000139191
sf,-40,3.30,4,2.78912e+07,6.45005e+07,2.313,1.73643e+07,2.23553e+07,2.03385e+07,8.39547e-05,0.000156368
sf,-40,3.30,5,4.58633e+07,1.09121e+08,2.379,2.9387e+07,3.91527e+07,3.51432e+07,0.000114167,0.000223273
sf,-40,3.30,6,8.02136e+07,1.97173e+08,2.458,5.33447e+07,7.37583e+07,6.49774e+07,0.000158824,0.000327048
sf,-40,3.30,7,1.36333e+08,3.42345e+08,2.511,9.521e+07,1.24697e+08,1.14451e+08,0.00023711,0.000499852
sf,-40,3.63,0,3624970,7826180,2.159,2.07783e+06,2.45037e+06,2.33401e+06,4.97976e-05,7.52469e-05
sf,-40,3.63,1,5753330,1.25294e+07,2.178,3.3459e+06,3.97467e+06,3.76448e+06,5.72051e-05,9.46726e-05
sf,-40,3.63,2,9613780,2.09642e+07,2.181,5.61873e+06,6.6265e+06,6.30579e+06,6.53461e-05,0.000110208
sf,-40,3.63,3,1.53408e+07,3.39767e+07,2.215,9.115e+06,1.0988e+07,1.03533e+07,8.25816e-05,0.000148079
sf,-40,3.63,4,2.53761e+07,5.71718e+07,2.253,1.53507e+07,1.8834e+07,1.76643e+07,9.22527e-05,0.000166519
sf,-40,3.63,5,4.11802e+07,9.51933e+07,2.312,2.55517e+07,3.30953e+07,3.00073e+07,0.000121787,0.000237143
sf,-40,3.63,6,7.12333e+07,1.69762e+08,2.383,4.54177e+07,6.185e+07,5.47382e+07,0.000172565,0.000344763
sf,-40,3.63,7,1.19052e+08,2.95059e+08,2.478,7.986e+07,1.10253e+08,9.77817e+07,0.00025139,0.000521401
sf,27,2.97,0,4487100,1.00861e+07,2.248,2.76237e+06,3.30195e+06,3.11056e+06,4.60724e-05,7.63561e-05
sf,27,2.97,1,7297150,1.65451e+07,2.267,4.52867e+06,5.478e+06,5.13775e+06,5.55501e-05,9.52397e-05
sf,27,2.97,2,1.22373e+07,2.8179e+07,2.303,7.68167e+06,9.62167e+06,8.8565e+06,6.20976e-05,0.00011064
sf,27,2.97,3,2.01463e+07,4.72897e+07,2.347,1.29143e+07,1.65917e+07,1.50797e+07,8.01813e-05,0.000150915
sf,27,2.97,4,3.46222e+07,8.33177e+07,2.406,2.28247e+07,3.00167e+07,2.70531e+07,8.85098e-05,0.000170616
sf,27,2.97,5,5.835e+07,1.45043e+08,2.486,3.98167e+07,5.38933e+07,4.81628e+07,0.00012191,0.000244813
sf,27,2.97,6,1.03273e+08,2.59465e+08,2.512,7.36367e+07,9.435e+07,8.67733e+07,0.000172561,0.000355493
sf,27,2.97,7,1.80305e+08,4.33449e+08,2.404,1.28257e+08,1.44892e+08,1.40636e+08,0.000259071,0.000536458
sf,27,3.30,0,4083080,9012510,2.207,2.44757e+06,2.91127e+06,2.73857e+06,5.0342e-05,8.15037e-05
sf,27,3.30,1,6577840,1.4638e+07,2.225,3.9647e+06,4.786e+06,4.47787e+06,6.00509e-05,0.000101567
sf,27,3.30,2,1.09546e+07,2.46981e+07,2.255,6.708e+06,8.36333e+06,7.63528e+06,6.76495e-05,0.000116351
sf,27,3.30,3,1.78195e+07,4.08493e+07,2.292,1.11063e+07,1.39553e+07,1.27943e+07,8.59694e-05,0.000157429
sf,27,3.30,4,3.03864e+07,7.09767e+07,2.336,1.92463e+07,2.50517e+07,2.25502e+07,9.6143e-05,0.000177268
sf,27,3.30,5,5.0414e+07,1.21479e+08,2.41,3.3071e+07,4.45767e+07,3.94806e+07,0.000130226,0.000254553
sf,27,3.30,6,8.79389e+07,2.19455e+08,2.496,6.04003e+07,8.22667e+07,7.30645e+07,0.00018341,0.00037099
sf,27,3.30,7,1.51904e+08,3.7983e+08,2.5,1.0863e+08,1.3527e+08,1.26626e+08,0.000270914,0.000561754
sf,27,3.63,0,3813850,8255210,2.165,2.22583e+06,2.58693e+06,2.46742e+06,5.69331e-05,8.60482e-05
sf,27,3.63,1,6094210,1.33157e+07,2.185,3.5747e+06,4.301e+06,4.01194e+06,6.58351e-05,0.000109328
sf,27,3.63,2,1.00881e+07,2.22006e+07,2.201,6.01933e+06,7.09817e+06,6.72917e+06,7.42167e-05,0.000124782
sf,27,3.63,3,1.62477e+07,3.63475e+07,2.237,9.82e+06,1.20877e+07,1.11666e+07,9.32508e-05,0.000166095
sf,27,3.63,4,2.75837e+07,6.27146e+07,2.274,1.69327e+07,2.1314e+07,1.95172e+07,0.00010339,0.00018769
sf,27,3.63,5,4.51445e+07,1.05835e+08,2.344,2.86857e+07,3.82447e+07,3.37169e+07,0.000138695,0.00026591
sf,27,3.63,6,7.78948e+07,1.89478e+08,2.432,5.1374e+07,7.05733e+07,6.19907e+07,0.000194585,0.0003855
sf,27,3.63,7,1.32328e+08,3.31747e+08,2.507,9.192e+07,1.2345e+08,1.10788e+08,0.000284319,0.000587887
sf,125,2.97,0,4872060,1.07498e+07,2.206,2.93e+06,3.45833e+06,3.26541e+06,6.26045e-05,9.63479e-05
sf,125,2.97,1,7968790,1.77645e+07,2.229,4.82087e+06,5.91367e+06,5.44206e+06,7.23179e-05,0.000117815
sf,125,2.97,2,1.3289e+07,3.02e+07,2.273,8.19133e+06,1.02317e+07,9.395e+06,8.06648e-05,0.00013479
sf,125,2.97,3,2.20839e+07,5.13099e+07,2.323,1.3901e+07,1.82797e+07,1.62367e+07,0.000101785,0.000181444
sf,125,2.97,4,3.9127e+07,9.32294e+07,2.383,2.52993e+07,3.35873e+07,3.00569e+07,0.000113635,0.000205324
sf,125,2.97,5,6.67315e+07,1.64044e+08,2.458,4.5196e+07,6.03233e+07,5.40625e+07,0.000153807,0.000295059
sf,125,2.97,6,1.1835e+08,2.88899e+08,2.441,8.302e+07,1.00037e+08,9.47494e+07,0.000214367,0.000421525
sf,125,2.97,7,2.08132e+08,4.6848e+08,2.251,1.37383e+08,1.49288e+08,1.44638e+08,0.000317851,0.000620045
sf,125,3.30,0,4440190,9631760,2.169,2.5803e+06,3.07423e+06,2.88421e+06,6.74363e-05,9.95542e-05
sf,125,3.30,1,7190820,1.5762e+07,2.192,4.24563e+06,5.10633e+06,4.76177e+06,7.74093e-05,0.000123183
sf,125,3.30,2,1.19238e+07,2.65145e+07,2.224,7.12967e+06,8.70967e+06,8.10594e+06,8.56998e-05,0.000142055
sf,125,3.30,3,1.95883e+07,4.43944e+07,2.266,1.19527e+07,1.5041e+07,1.37812e+07,0.000107662,0.000188301
sf,125,3.30,4,3.44205e+07,7.96693e+07,2.315,2.1516e+07,2.80593e+07,2.51382e+07,0.000118434,0.00021242
sf,125,3.30,5,5.7818e+07,1.3872e+08,2.399,3.7579e+07,5.08633e+07,4.49456e+07,0.000162223,0.000304942
sf,125,3.30,6,1.01201e+08,2.49416e+08,2.465,6.94167e+07,9.085e+07,8.23417e+07,0.000225189,0.000436119
sf,125,3.30,7,1.77835e+08,4.23558e+08,2.382,1.23893e+08,1.41197e+08,1.36513e+08,0.000333104,0.000651787
sf,125,3.63,0,4144850,8834240,2.131,2.34567e+06,2.76983e+06,2.60522e+06,7.15186e-05,0.00010508
sf,125,3.63,1,6654960,1.43172e+07,2.151,3.82167e+06,4.51733e+06,4.2568e+06,8.17789e-05,0.000129607
sf,125,3.63,2,1.09763e+07,2.39174e+07,2.179,6.386e+06,7.651e+06,7.1895e+06,9.19259e-05,0.000149368
sf,125,3.63,3,1.78534e+07,3.96167e+07,2.219,1.0648e+07,1.3248e+07,1.20907e+07,0.000115541,0.000196627
sf,125,3.63,4,3.12293e+07,7.04031e+07,2.254,1.88477e+07,2.40547e+07,2.17632e+07,0.000128043,0.000223769
sf,125,3.63,5,5.17636e+07,1.20689e+08,2.332,3.23967e+07,4.315e+07,3.82919e+07,0.000170778,0.000316006
sf,125,3.63,6,8.95156e+07,2.17447e+08,2.429,5.90647e+07,8.00433e+07,7.1073e+07,0.000236309,0.000455222
sf,125,3.63,7,1.5543e+08,3.78751e+08,2.437,1.07407e+08,1.325e+08,1.24067e+08,0.000347719,0.000682342
ss,-40,2.97,0,4522980,1.02865e+07,2.274,2.7216e+06,3.51957e+06,3.20196e+06,3.57379e-05,6.12228e-05
ss,-40,2.97,1,7413480,1.70704e+07,2.303,4.54663e+06,5.88833e+06,5.36496e+06,4.29524e-05,7.71689e-05
ss,-40,2.97,2,1.26884e+07,2.96413e+07,2.336,7.89933e+06,1.0585e+07,9.41828e+06,4.92175e-05,9.12048e-05
ss,-40,2.97,3,2.10807e+07,4.99575e+07,2.37,1.3356e+07,1.76323e+07,1.60427e+07,6.45e-05,0.000125325
ss,-40,2.97,4,3.56793e+07,8.56934e+07,2.402,2.29983e+07,3.07007e+07,2.77856e+07,7.06407e-05,0.000140749
ss,-40,2.97,5,6.04264e+07,1.45775e+08,2.412,3.98457e+07,5.19033e+07,4.74159e+07,9.89722e-05,0.00020364
ss,-40,2.97,6,1.07118e+08,2.50396e+08,2.338,6.97133e+07,8.34533e+07,7.95989e+07,0.000143193,0.00029844
ss,-40,2.97,7,1.80597e+08,3.99278e+08,2.211,1.12307e+08,1.24783e+08,1.21489e+08,0.000216533,0.000447782
ss,-40,3.30,0,4008650,8873760,2.214,2.367e+06,2.88938e+06,2.70284e+06,3.9115e-05,6.41043e-05
ss,-40,3.30,1,6487180,1.44589e+07,2.229,3.7979e+06,4.75033e+06,4.42873e+06,4.63956e-05,8.13053e-05
ss,-40,3.30,2,1.09696e+07,2.47422e+07,2.256,6.506e+06,8.41733e+06,7.65144e+06,5.34138e-05,9.62535e-05
ss,-40,3.30,3,1.7913e+07,4.12653e+07,2.304,1.0864e+07,1.46423e+07,1.29735e+07,6.81292e-05,0.000131194
ss,-40,3.30,4,3.00037e+07,7.04539e+07,2.348,1.8572e+07,2.49823e+07,2.24723e+07,7.60296e-05,0.000147083
ss,-40,3.30,5,5.00663e+07,1.2058e+08,2.408,3.23063e+07,4.34967e+07,3.91743e+07,0.000105522,0.000214778
ss,-40,3.30,6,8.87382e+07,2.15299e+08,2.426,5.8636e+07,7.69233e+07,7.03116e+07,0.000151405,0.000313086
ss,-40,3.30,7,1.52077e+08,3.5944e+08,2.364,1.0108e+08,1.20357e+08,1.15202e+08,0.000228193,0.00047638
ss,-40,3.63,0,3690060,7985530,2.164,2.09233e+06,2.51743e+06,2.38637e+06,4.31162e-05,6.86894e-05
ss,-40,3.63,1,5904500,1.28758e+07,2.181,3.3566e+06,4.22067e+06,3.87294e+06,5.08854e-05,8.73977e-05
ss,-40,3.63,2,9892000,2.17496e+07,2.199,5.74967e+06,7.03583e+06,6.58756e+06,5.7624e-05,0.000102295
ss,-40,3.63,3,1.59494e+07,3.56628e+07,2.236,9.31933e+06,1.18203e+07,1.09519e+07,7.42804e-05,0.000137943
ss,-40,3.63,4,2.65218e+07,6.04443e+07,2.279,1.59187e+07,2.05518e+07,1.88458e+07,8.33928e-05,0.000155852
ss,-40,3.63,5,4.35795e+07,1.02073e+08,2.342,2.69457e+07,3.63663e+07,3.24964e+07,0.000113592,0.000223277
ss,-40,3.63,6,7.63112e+07,1.83964e+08,2.411,4.87077e+07,6.80533e+07,5.98071e+07,0.000159598,0.000328124
ss,-40,3.63,7,1.29464e+08,3.15594e+08,2.438,8.58233e+07,1.13033e+08,1.03406e+08,0.00023893,0.000497451
ss,27,2.97,0,4788760,1.08499e+07,2.266,2.93633e+06,3.61168e+06,3.3673e+06,4.34747e-05,7.18782e-05
ss,27,2.97,1,7870890,1.80619e+07,2.295,4.8855e+06,6.18833e+06,5.66167e+06,5.10089e-05,8.99273e-05
ss,27,2.97,2,1.33459e+07,3.11601e+07,2.335,8.36033e+06,1.0964e+07,9.89678e+06,5.83311e-05,0.00010514
ss,27,2.97,3,2.22877e+07,5.3077e+07,2.381,1.4415e+07,1.8846e+07,1.71052e+07,7.56979e-05,0.000144109
ss,27,2.97,4,3.87698e+07,9.39268e+07,2.423,2.56113e+07,3.43147e+07,3.06428e+07,8.33359e-05,0.000161478
ss,27,2.97,5,6.62947e+07,1.60704e+08,2.424,4.46647e+07,5.68567e+07,5.24496e+07,0.000116902,0.000235361
ss,27,2.97,6,1.17217e+08,2.72223e+08,2.322,7.78967e+07,8.88617e+07,8.61144e+07,0.000166703,0.000337373
ss,27,2.97,7,1.98456e+08,4.25827e+08,2.146,1.2054e+08,1.30475e+08,1.26317e+08,0.000248549,0.000501984
ss,27,3.30,0,4262900,9428910,2.212,2.5084e+06,3.0731e+06,2.87001e+06,4.62162e-05,7.56797e-05
ss,27,3.30,1,6913800,1.54568e+07,2.236,4.1444e+06,5.12867e+06,4.74611e+06,5.48311e-05,9.56304e-05
ss,27,3.30,2,1.16078e+07,2.63218e+07,2.268,7.041e+06,8.89333e+06,8.17444e+06,6.2629e-05,0.000109583
ss,27,3.30,3,1.90737e+07,4.41979e+07,2.317,1.18893e+07,1.56003e+07,1.39579e+07,8.0614e-05,0.000150483
ss,27,3.30,4,3.28189e+07,7.76341e+07,2.366,2.07937e+07,2.8023e+07,2.48973e+07,8.95115e-05,0.000169193
ss,27,3.30,5,5.52312e+07,1.34155e+08,2.429,3.63053e+07,4.879e+07,4.38466e+07,0.000124203,0.000243287
ss,27,3.30,6,9.75868e+07,2.37227e+08,2.431,6.61107e+07,8.38467e+07,7.75779e+07,0.000174704,0.000355624
ss,27,3.30,7,1.68813e+08,3.90195e+08,2.311,1.12703e+08,1.26558e+08,1.2299e+08,0.000261996,0.000534534
ss,27,3.63,0,3909130,8498530,2.174,2.2516e+06,2.73353e+06,2.54967e+06,5.0855e-05,7.95155e-05
ss,27,3.63,1,6286230,1.37326e+07,2.185,3.6351e+06,4.40733e+06,4.13687e+06,6.00384e-05,9.85799e-05
ss,27,3.63,2,1.04696e+07,2.31517e+07,2.211,6.13233e+06,7.56167e+06,7.04561e+06,6.83195e-05,0.000116097
ss,27,3.63,3,1.6997e+07,3.83396e+07,2.256,1.01893e+07,1.30537e+07,1.1857e+07,8.62557e-05,0.000156867
ss,27,3.63,4,2.90014e+07,6.66088e+07,2.297,1.76843e+07,2.31593e+07,2.0893e+07,9.56736e-05,0.000176821
ss,27,3.63,5,4.8083e+07,1.13938e+08,2.37,3.04533e+07,4.088e+07,3.65861e+07,0.000130723,0.000252834
ss,27,3.63,6,8.39474e+07,2.04487e+08,2.436,5.5372e+07,7.455e+07,6.69664e+07,0.000184291,0.000369715
