# excursion = max-min of that vector over timepoints 25..1999,
# i.e. after the internal timestep collapsed (simulated span 1.7453e-11 s)
name,excursion,value_at_collapse,value_at_last
v(xdut.xdiv.xd5.q),1.299483e-13,5.902327e-09,5.902455e-09
v(xdut.xdiv.xd4.mob),1.261526e-13,1.106850e-08,1.106838e-08
v(xdut.xpfd.xcp.xn_t1a.mid),1.229433e-13,8.286929e-02,8.286929e-02
v(xdut.xdiv.xd2.xn3.nm1),1.211115e-13,9.647732e-02,9.647732e-02
v(xdut.xld.xnw.nmid),1.204578e-13,5.934747e-09,5.934850e-09
v(xdut.xdiv.xd5.dqn),1.176146e-13,1.186935e-08,1.186926e-08
v(xdut.xdiv.xd4.xfq.nm),1.173300e-13,6.699288e-08,6.699297e-08
v(xdut.xdiv.xd4.xfmo.nma),1.171011e-13,2.063080e-08,2.063074e-08
v(xdut.xdiv.xd4.dmo),1.124133e-13,2.927594e-08,2.927588e-08
v(xdut.xld.xdly.d1),1.112752e-13,5.902291e-09,5.902180e-09
v(xdut.xdiv.xd2.dqn),1.037995e-13,1.186944e-08,1.186937e-08
v(xdut.xpfd.xcp.b1b),1.035325e-13,1.048287e-08,1.048282e-08
v(xdut.xdiv.xd3.xfmo.nma),1.035197e-13,2.927593e-08,2.927593e-08
v(xdut.xdiv.xm4.nmid),1.024098e-13,1.973574e-08,1.973565e-08
v(xdut.xdiv.xd4.xfmo.ns),1.007502e-13,3.057808e-08,3.057808e-08
v(xdut.xdiv.xd5.dmo),9.986487e-14,2.063073e-08,2.063075e-08
v(xdut.xdiv.xd2.xn2m.nmid),9.890699e-14,8.095153e-02,8.095153e-02
v(xdut.xdiv.xd3.xfq.ckbb),9.883264e-14,5.902231e-09,5.902249e-09
v(xdut.xdiv.xd5.xfmo.nmb),9.868923e-14,1.106847e-08,1.106838e-08
v(xdut.xdiv.xd5.xfmo.nm),9.730772e-14,3.057802e-08,3.057793e-08
v(xdut.xld.xdly.d2),9.103829e-14,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd3.xn3.nm2),8.935908e-14,7.421900e-02,7.421900e-02
v(xdut.xdiv.xd2.xn2q.nmid),8.690955e-14,5.934683e-09,5.934715e-09
v(xdut.xld.xerr.n2),8.525156e-14,1.186944e-08,1.186950e-08
v(xdut.xpfd.xcp.xn_t1b.mid),8.318346e-14,8.286929e-02,8.286929e-02
v(xdut.xdiv.xd1.q),7.540715e-14,5.902519e-09,5.902548e-09
v(xdut.xdiv.xnr2.pmid),7.505108e-14,3.300000e+00,3.300000e+00
v(xdut.xdiv.xd5.mob),7.105427e-14,3.300000e+00,3.300000e+00
v(xdut.xdiv.xm5.nmid),6.997181e-14,8.095133e-02,8.095133e-02
v(xdut.xpfd.xpfd.xed_ref.xnd.ni),6.980128e-14,7.142334e-09,7.142344e-09
v(xdut.xdiv.xd4.dqn),6.969157e-14,1.186941e-08,1.186944e-08
v(xdut.xpfd.xcp.xn_base.mid),6.898648e-14,8.286929e-02,8.286929e-02
v(xdut.xdiv.xd5.xfq.nma),5.824363e-14,2.927592e-08,2.927593e-08
v(xdut.xdiv.xd3.dq),5.640792e-14,2.063073e-08,2.063071e-08
v(xdut.xdiv.xd5.xn3.nm1),5.102863e-14,9.647706e-02,9.647706e-02
v(xdut.xdiv.xm2.nmid),4.976575e-14,8.095126e-02,8.095126e-02
v(xdut.xdiv.xd5.xn2m.nmid),4.783673e-14,8.095082e-02,8.095082e-02
v(lock),4.555692e-14,5.902288e-09,5.902257e-09
v(xdut.xld.wideb),4.408431e-14,1.186951e-08,1.186952e-08
i(vsetv),3.137490e-14,5.252067e-06,5.252067e-06
v(xdut.xpfd.xcp.xn_t0.bg),2.529624e-14,9.345056e-10,9.344817e-10
i(vs4),2.029340e-14,-3.299917e-12,-3.300225e-12
i(vs1),1.909800e-14,-2.108218e-15,-4.716385e-15
i(vs2),1.814687e-14,-1.192184e-15,-1.510016e-15
i(vb0),1.733743e-14,-3.281618e-12,-3.269235e-12
v(xdut.xdiv.xd2.xn3.nm2),1.645906e-14,1.847221e-02,1.847221e-02
i(vp0),1.551072e-14,-6.942663e-15,-9.455772e-15
i(vs0),1.470613e-14,-9.910389e-16,-1.861011e-15
v(xdut.xdiv.xd5.xn3.nm2),1.349962e-14,1.847220e-02,1.847220e-02
i(vs5),1.325995e-14,5.702111e-16,-7.362729e-16
v(xdut.xlf.xrf3.21),1.199041e-14,1.454052e+00,1.454052e+00
v(xdut.xlf.xrf2.11),1.199041e-14,1.454052e+00,1.454052e+00
v(xdut.xlf.nr2),1.199041e-14,1.454052e+00,1.454052e+00
i(vs3),1.101669e-14,-1.104465e-15,-1.100390e-16
i(vp1),9.748625e-15,1.123663e-15,9.301013e-16
i(vp4),9.445854e-15,-2.334867e-17,-1.821869e-15
i(vp3),7.601585e-15,9.680790e-16,-1.266858e-15
i(vp5),6.987936e-15,6.098845e-16,4.633248e-16
i(vp2),6.905835e-15,-2.826544e-16,-5.340479e-16
i(vref),6.222546e-15,2.899224e-16,-5.316840e-16
i(vcpb1),6.023055e-15,-3.299992e-12,-3.298823e-12
v(xdut.xvco.xbias.xroff.21),5.563909e-15,2.183060e-04,2.183060e-04
i(vcpb0),5.558358e-15,-6.135823e-17,7.731548e-16
v(xdut.xlf.xrf4.21),3.996803e-15,1.454052e+00,1.454052e+00
v(xdut.xlf.xrf3.11),3.108624e-15,1.454052e+00,1.454052e+00
v(xdut.xlf.nr3),2.886580e-15,1.454052e+00,1.454052e+00
v(xdut.xlf.xrf2.21),1.998401e-15,1.454052e+00,1.454052e+00
v(xdut.xlf.xrf1.11),1.110223e-15,1.454052e+00,1.454052e+00
v(xdut.xlf.nr1),1.110223e-15,1.454052e+00,1.454052e+00
v(xdut.xvco.xbias.xrcg.21),3.179965e-16,2.215791e-04,2.215791e-04
v(xdut.xvco.xbias.xrdeg.21),2.566035e-16,2.108839e-04,2.108839e-04
v(xdut.xvco.xcdec2.c_moscap_int1),0.000000e+00,-3.300000e+00,-3.300000e+00
v(xdut.xvco.xcdec1.c_moscap_int1),0.000000e+00,-3.300000e+00,-3.300000e+00
v(xdut.xlf.xrf4.11),0.000000e+00,1.454052e+00,1.454052e+00
v(xdut.xlf.xcf4.c_moscap_int1),0.000000e+00,-1.454052e+00,-1.454052e+00
v(xdut.xlf.xcf3.c_moscap_int1),0.000000e+00,-1.454052e+00,-1.454052e+00
v(xdut.xlf.xcf2.c_moscap_int1),0.000000e+00,-1.454052e+00,-1.454052e+00
v(xdut.xlf.xcf1.c_moscap_int1),0.000000e+00,-1.454052e+00,-1.454052e+00
v(xdut.xlf.nz),0.000000e+00,1.454052e+00,1.454052e+00
v(vss),0.000000e+00,0.000000e+00,0.000000e+00
v(vsetnode),0.000000e+00,1.454000e+00,1.454000e+00
v(vdd_vco),0.000000e+00,3.300000e+00,3.300000e+00
v(vdd_div),0.000000e+00,3.300000e+00,3.300000e+00
v(vdd),0.000000e+00,3.300000e+00,3.300000e+00
v(sel5),0.000000e+00,0.000000e+00,0.000000e+00
v(sel4),0.000000e+00,3.300000e+00,3.300000e+00
v(sel3),0.000000e+00,0.000000e+00,0.000000e+00
v(sel2),0.000000e+00,0.000000e+00,0.000000e+00
v(sel1),0.000000e+00,0.000000e+00,0.000000e+00
v(sel0),0.000000e+00,0.000000e+00,0.000000e+00
v(sctrl),0.000000e+00,3.300000e+00,3.300000e+00
v(ref),0.000000e+00,0.000000e+00,0.000000e+00
v(p5),0.000000e+00,0.000000e+00,0.000000e+00
v(p4),0.000000e+00,0.000000e+00,0.000000e+00
v(p3),0.000000e+00,0.000000e+00,0.000000e+00
v(p2),0.000000e+00,0.000000e+00,0.000000e+00
v(p1),0.000000e+00,0.000000e+00,0.000000e+00
v(p0),0.000000e+00,0.000000e+00,0.000000e+00
v(gnd_vco),0.000000e+00,0.000000e+00,0.000000e+00
v(cpb1),0.000000e+00,3.300000e+00,3.300000e+00
v(cpb0),0.000000e+00,0.000000e+00,0.000000e+00
v(b2),0.000000e+00,3.300000e+00,3.300000e+00
v(b1),0.000000e+00,3.300000e+00,3.300000e+00
v(b0),0.000000e+00,3.300000e+00,3.300000e+00
i(vsctrl),0.000000e+00,-3.300000e-12,-3.300000e-12
